개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3640000,3.64E+17,2024-08-09,,영업/정상,,,,,0,,34710,(주)반려동물 장례지원단,I,L00,2025-12-15 16:15,대전광역시 동구 모암로 128-6 (이사동),정상,0,1,,239893.1172,310488.8285,대전광역시 동구 이사동 290-2 ,2025-10-23 17:24
3720000,3.72E+17,2024-08-28,,영업/정상,,,,,0,,,(주)젠틀펫,I,L00,2025-12-15 16:15,,정상,0,1,,,,울산광역시 북구 진장동 859 ,2025-06-04 10:55
3730000,3.73E+17,2019-03-12,,영업/정상,,,,,0,,44956,이별공간,I,0,2025-12-15 16:15,울산광역시 울주군 삼동면 삼동로 140,정상,0,1,,391006.5563,224127.8284,울산광역시 울주군 삼동면 조일리 906-4 ,2024-03-22 15:46
3930000,3.93E+17,2024-12-23,,영업/정상,,,,,0,,15433,펫브릿지,I,L00,2025-12-15 16:15,"경기도 안산시 단원구 산단로 232, 신안산비즈스타복합지식산업센터 7층 710호 (원시동)",정상,0,1,16702818,181355.6923,423815.1311,경기도 안산시 단원구 원시동 770-3 신안산비즈스타복합지식산업센터 ,2025-10-14 13:26
3930000,3.93E+17,2024-03-08,,영업/정상,,,,,0,,15208,펫콤 안산점,I,L00,2025-12-15 16:15,경기도 안산시 상록구 서당길 10 (양상동),정상,0,1,18335158,186341.4084,428102.6148,경기도 안산시 상록구 양상동 42-12 ,2025-10-14 13:27
3930000,3.93E+17,2022-06-22,,영업/정상,,,,,0,,15658,주식회사 펫콤,I,L00,2025-12-15 16:15,"경기도 안산시 단원구 엠티브이1로 159, 동신엔지니어링 (목내동)",정상,0,1,,179836.9561,421505.2502,경기도 안산시 단원구 목내동 517-9 동신엔지니어링 ,2025-10-14 13:26
3940000,3.94E+17,2015-11-11,,영업/정상,,,,,0,,10252,(주)펫바라기,I,L00,2025-12-15 16:15,경기도 고양시 일산동구 은마길63번길 25-2 (설문동),정상,0,1,319763179,182813.3532,467934.7771,경기도 고양시 일산동구 설문동 515-1 ,2024-10-22 14:58
3990000,3.99E+17,2024-08-22,,영업/정상,,,,,0,,12202,펫포레스트 반려동물장례식장 남양주점,I,L00,2025-12-15 16:15,"경기도 남양주시 와부읍 수레로 699, 지하1층",정상,0,1,,224338.3152,457517.6638,경기도 남양주시 와부읍 월문리 114-1 ,2025-05-29 11:42
3990000,3.99E+17,2019-10-29,,영업/정상,,,,,0,,12192,몽몽이엠파크 반려동물장례식장,I,L00,2025-12-15 16:15,경기도 남양주시 화도읍 모꼬지로17번길 136,정상,0,1,18111336,,,경기도 남양주시 화도읍 구암리 305 ,2025-09-03 13:23
3990000,3.99E+17,2023-09-13,,영업/정상,,,,,0,,12199,21그램 반려동물 장례식장 남양주점,I,0,2026-01-28 21:02,경기도 남양주시 화도읍 수레로964번길 86,정상,0,1,16881240,225555.7946,458218.2508,경기도 남양주시 화도읍 차산리 856-1 ,2026-01-27 14:41
4050000,4.05E+17,2019-04-15,,영업/정상,,,,,0,,17123,리멤버반려동물장례식장,I,0,2026-01-07 21:32,경기도 용인시 처인구 남사읍 원암로 535,정상,0,1,,215230.9796,400637.2239,경기도 용인시 처인구 남사읍 방아리 883-3 ,2026-01-06 17:52
